dispnum,incidnum,year,month,day,mid21location,midlocmeasuringpoint,lat,lng,precision,onset
2081,2081001,1977,7,14,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
2082,2082001,1978,8,18,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
2083,2083001,1980,9,7,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
2084,2084001,1981,4,25,Mendoza Province,"Mendoza Province, Argentina",-34.5,-68.5,3,1
2085,2085001,1981,9,21,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-58.16667,4,1
2086,2086001,1983,8,18,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
2087,2087001,1984,10,19,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1
2088,2088001,1950,11,16,"Nilang, Tibet-Indian Border","Nilanga, India",18.1,76.76667,1,1
2089,2089001,1954,6,29,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1
2090,2090001,1955,6,25,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1
2091,2091001,1956,5,2,"Nilang, Tsang Chokla Pass","Nilanga, India",18.1,76.76667,1,1
2092,2092001,1956,6,7,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1
2093,2093001,1958,8,2,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1
2094,2094001,1962,12,1,Numerous places on ind-chn border,mid pt of border,32.60028,79.50723,4,1
2095,2095001,1964,4,7,Border near Sikkim/Bhutan,"Gangtok, India",27.33333,88.61667,3,1
2096,2096001,1965,4,25,Ladakh,"Ladakh, India",34.5,77.5,3,1
2097,2097001,1967,7,17,"Beijing, China","Beijing, China",39.92889,116.3883,1,1
2098,2098001,1969,3,23,Sikkim,"Sikkim, India",27.75,88.5,3,1
2099,2099001,1971,12,10,Sikkim,"Sikkim, India",27.75,88.5,3,1
2100,2100001,1973,4,12,Sikkim,"Sikkim, India",27.75,88.5,3,1
2101,2101001,1979,2,27,"NEFA, Twang tract and Sikkim","Sikkim, India",27.75,88.5,3,1
2102,2102001,1985,12,-9,"NEFA, Twang Tract","tawang, india",27.67306,92.16472,3,1
2103,2103001,1934,12,-9,iraq-iran border,mid pt of border,33.62583,45.85639,4,1
2104,2104001,1953,2,10,Khormanshah (irn-irq),gulf of khormanshah,29.82389,48.42861,3,1
2105,2105001,1961,2,10,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1
2106,2106001,1965,12,18,Kordestan,"Kordestan, Iran",37,44,3,1
2107,2107001,1966,5,23,Kordestan,"Kordestan, Iran",35.5,47,3,1
2108,2108001,1969,9,14,Kordestan,"Kordestan, Iran",37,44,3,1
2109,2109001,1970,1,20,Baghdad,"Baghdad, Iraq",33.33861,44.39389,1,1
2110,2110001,1971,4,14,Khanaqin region,"Khanaqin, Iraq",34.5,45.35,3,1
2111,2111001,1973,1,2,Kordestan,"Kordestan, Iran",37,44,3,1
2112,2112001,1974,1,24,Badrah,"Badrah, Iraq",33.12056,45.9575,1,1
2113,2113001,1979,2,27,"Sar Dasht, Qasr-e-Shirin","Sar Dasht, Iran",31.4,49.88334,1,1
2114,2114001,1979,10,24,"Khuzistan, Shatt-al-arab",Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1
2115,2115001,1980,8,27,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1
2116,2116001,1842,10,18,"Monterey, CA, USA","Monterey, ca",36.58167,-121.8689,1,1
2117,2117001,1870,6,17,Tecapan River,"Tecpan, Mexico",16.25,-95.96667,4,1
2118,2118001,1984,1,15,"Rio Corrientes, Zamora-Santiago zone",cordillera del condor (EC-PER),-3.51,-78.3175,4,1
2119,2119001,1981,1,23,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1
2120,2120001,1977,6,21,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1
2121,2121001,1953,2,27,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1
2122,2122001,1950,10,21,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1
2123,2123001,1943,2,-9,"Cerro Verde, Loja province","Loja, Ecuador",-4.166667,-79.5,3,1
2124,2124001,1942,2,11,Jambeli Island,"Jambeli Island, Ecuador",-3.333333,-80.06667,3,1
2125,2125001,1937,4,-9,Zarumilla River,"Zaruma, Ecuador",-3.683333,-79.61667,4,1
2126,2126001,1911,1,27,Pocitas Zone,"Pocitas, Peru",22.13333,-79.63333,3,1
2127,2127001,1891,8,-9,"Rio Napo, Oriente","Oriente, Ecuador",-2,-77,3,1
2128,2128001,1886,8,10,Rio Paraguay,"Asuncion, Paraguay",-25.26667,-57.66667,4,1
2129,2129001,1921,10,-9,Rio Pilcomayo,"Rio Pilcomayo, Bolivia",-19.38333,-65.88333,4,1
2130,2130001,1923,10,-9,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
2131,2131001,1924,8,-9,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
2132,2132001,1927,2,26,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3,1
2133,2133001,1930,1,16,Rio Paraguay,"Asuncion, Paraguay",-25.26667,-57.66667,4,1
2134,2134001,1936,3,-9,"Boyuibb,Chaco Boreal","Chaco Boreal, Paraguay",-23,-60,3,1
2135,2135001,1937,5,-9,"Boyuibb,Chaco Boreal","Chaco Boreal, Paraguay",-23,-60,3,1
2136,2136001,1974,11,7,Kagera Salient,"Kagera River, Tanzania",-0.95,31.78333,4,1
2137,2137001,1975,3,-9,"Umm Hagar, Sudan","Umm Hagar, Eritrea",14.325,36.65528,1,1
2138,2138001,1972,9,20,Libya-Sudan border,"Jabal Kissu, Sudan",21.58333,25.15,4,1
2139,2139001,1977,4,17,Border with Belize,"Caracol, Belize",16.7575,-89.12473,4,1
2140,2140001,1977,2,24,Kagera Salient,"Kagera River, Tanzania",-0.95,31.78333,4,1
2141,2141001,1978,10,9,.,md pt TAZ-UGA border,-1.121,32.144,4,1
2142,2142001,1977,1,1,.,eth-sud border,10.62,34.51,4,1
2143,2143001,1977,1,8,Tacna and Arica,"Tacna, Peru",-18.00556,-70.24834,1,1
2144,2144001,1977,2,4,.,coast of ken-taz border,-4.85,39.46,2,1
2145,2145001,1928,10,31,Mato Grosso,"Mato Grosso, Brazil",-22.86667,-42.6,1,1
2146,2146001,1928,10,31,Mato Grosso,"Mato Grosso, Brazil",-22.86667,-42.6,1,1
2148,2148001,1977,4,26,Zaire-Angola border,"Chitato, Angola",-7.3,20.85,4,1
2149,2149001,1977,5,-9,laos-camb border,mid pt on border,14.40694,106.3131,4,1
2150,2150001,1977,3,8,.,zai-ang border (north),-5.135,12.772,4,1
2152,2152001,1980,2,3,Yemen-S.Arabia border,"Najran, Saudi Arabia",17.46667,44.1,4,1
2153,2153001,1964,9,1,Yemen,Al Mukalla,14.53,49.13139,5,1
2155,2155001,1966,12,31,Border of Saudi Arabia & Yemen,"Zamakh, Yemen",16.45,47.6,4,1
2157,2157001,1963,1,29,Behan,"Behan, Iran",35.78333,52.4,1,1
2163,2163001,1983,2,19,"Larnaca, Cyprus",Larnaca,34.91667,33.62917,1,1
2168,2168001,1871,5,7,"Paris, France",Paris,48.86666,2.333333,1,1
2169,2169001,1871,6,24,"Paris, France",Paris,48.86666,2.333333,1,1
2170,2170001,1885,11,-9,Togo and Dahomey,"Grand Popo, Benin",6.283333,1.833333,5,1
2171,2171001,1965,3,16,Cyprus,Nicosia,35.16667,33.36666,5,1
2172,2172001,1965,11,6,Cyprus,Nicosia,35.16667,33.36666,5,1
2173,2173001,1974,9,13,Aegean see,Aegean Sea,39,25,3,1
2174,2174001,1978,11,1,Aegean sea,Aegean Sea,39,25,5,1
2175,2175001,1981,3,21,Aegean Sea,Aegean Sea,39,25,5,1
2176,2176001,1982,12,1,.,cyprus,35.06,33.41,5,1
2177,2177001,1984,10,17,"Aegean Sea, Cyprus","Nicosia, Cyprus",35.16667,33.36666,5,1
2178,2178001,1986,7,2,Cyprus,"Nicosia, Cyprus",35.16667,33.36666,5,1
2179,2179001,1986,6,27,Aegean Sea,Aegean Sea,39,25,5,1
2180,2180001,1951,5,8,Pakistan-Afghanistan border,"Peshawar, pakistan",34.00195,71.55945,4,1
2181,2181001,1956,5,19,Pakistan-Afghanistan,"Jalalabad, Afghanistan",36.76667,65.86667,4,1
2182,2182001,1917,12,-9,Manchuria,"Harbin, China",45.75,126.65,3,1
2183,2183001,1913,7,15,"Ciaris Estro, Mexico",Ciaris Estero,27.01667,-109.9833,1,1
2184,2184001,1918,3,30,us-mex border,mid pt of border,31.21917,-105.9383,4,1
2185,2185001,1919,6,16,Texas-Mexico border,"Ciudad Acuna, Mexico",29.3,-100.9167,4,1
2186,2186001,1949,5,5,Ongjin Peninsula,"Ongjin-bando, N.Korea",37.92556,125.1078,3,1
2187,2187001,1958,3,7,.,PRK-KOR border,38.27,127.3,4,1
2188,2188001,1962,6,2,.,PRK-KOR border,38.27,127.3,4,1
2189,2189001,1963,5,17,.,PRK-KOR border,38.27,127.3,4,1
2190,2190001,1970,3,14,Korea:DMZ,"Ch'orwon, S.Korea",38.20917,127.2175,4,1
2191,2191001,1974,2,15,Yellow Sea,Yellow Sea,36,124,5,1
2192,2192001,1977,4,28,.,PRK-KOR border,38.27,127.3,4,1
2193,2193001,1979,3,1,.,PRK-KOR border,38.27,127.3,4,1
2194,2194001,1981,7,7,Korea:DMZ,mid pt of border,38.35611,127.4631,4,1
2195,2195001,1983,2,1,.,PRK-KOR border,38.27,127.3,4,1
2196,2196001,1984,11,13,.,PRK-KOR border,38.27,127.3,4,1
2198,2198001,1986,8,11,Korea:DMZ,mid pt of border,38.35611,127.4631,4,1
2199,2199001,1873,6,-9,Formosa,"Formosa, Brazil",-23.78333,-45.35,1,1
2200,2200001,1875,3,-9,"Ryukyu Islands, Japan",Ryukyu Islands,26.5,128,3,1
2201,2201001,1879,3,25,"Ryukyu Islands, Japan",Ryukyu Islands,26.5,128,3,1
2202,2202001,1882,7,31,"Seoul, Korea",Seoul,37.56639,126.9997,1,1
2203,2203001,1907,10,-9,Manchuria,"Harbin, China",45.75,126.65,3,1
2204,2204001,1909,4,22,"Manchuria, Chiento Jilin province","Jilin, China",43.85,126.5603,1,1
2205,2205001,1916,8,1,"Zhengjiatun, Liaoyang Province","Liaoyang, China",41.22611,123.0561,3,1
2206,2206001,1920,6,7,Chientao (Jilin province),"Jilin, China",43.85,126.5603,3,1
2207,2207001,1925,12,5,Mukden (Liaoyang Province) Manchuria,"Mukden, China",41.79222,123.4328,3,1
2209,2209001,1927,4,2,Hankow,"Hangkow, China",30.58333,114.2667,1,1
2210,2210001,1927,5,30,Shantung province,"Shantung Province, China",36,119,3,1
2211,2211001,1933,4,8,"Chahar Province, Inner Mongolia","Chahar, China",40.77722,113.2036,3,1
2212,2212001,1935,5,20,Hopei Province,"Paoting, China",18.78167,109.5253,3,1
2213,2213001,1935,6,13,"Charar Province, Inner Mongolia","Inner Mongolia, China",44,112,3,1
2214,2214001,1936,7,10,Hopei,"Paoting, China",18.78167,109.5253,3,1
2215,2215001,1958,6,27,Armenia,Yerevan,40.18333,44.5,5,1
2216,2216001,1958,11,7,Baltic Sea,Baltic Sea,56,18,5,1
2217,2217001,1961,7,25,Cuba,Havana,23.13194,-82.36417,5,1
2218,2218001,1963,4,2,.,berlin,52.52,13.38,5,1
2219,2219001,1961,11,19,.,berlin,52.52,13.38,1,1
2220,2220001,1964,1,28,East Germany,Berlin,52.51667,13.48333,5,1
2221,2221001,1970,10,21,Armenia,Yerevan,40.18333,44.5,5,1
2222,2222001,1977,4,9,"US coastal waters, Atlantic Ocean",Gulf of Maine,43,-68.5,4,1
2223,2223001,1978,11,19,Iran,Tehran,35.67194,51.42445,5,1
2224,2224001,1979,8,9,Pacific Ocean,mid pt of ocean,1.840833,-157.7667,5,1
2225,2225001,1979,8,31,.,waters off of cuba,22.74,-75.58,4,1
2227,2227001,1980,5,4,Yugoslavia,Belgrade,44.81194,20.46556,5,1
2228,2228001,1981,5,12,New York,"New York, USA",41.00167,-73.85306,1,1
2229,2229001,1982,6,23,.,northern tip of JAP,45.31,142.01,3,1
2230,2230001,1984,9,12,Bering Sea,Bering Sea,60,-175,5,1
2231,2231001,1983,11,24,.,berlin,52.52,13.38,5,1
2232,2232001,1985,3,24,.,berlin,52.52,13.38,5,1
2233,2233001,1986,3,13,Black Sea,Black Sea,43,35,5,1
2234,2234001,1911,7,16,.,haiti,19.11,-72.54,5,1
2236,2236001,1856,8,10,Rio Paraguay,"Asuncion, Paraguay",-25.26667,-57.66667,4,1
2237,2237001,1981,7,24,.,guy-ven border,6.858,-60.16,4,1
2239,2239001,1969,1,18,Venezuelan-Guyana border,"Bochinche, Venezuela",7.566667,-60.73333,4,1
2240,2240001,1970,2,19,Ankoko island,"Ankoko Island, Venezuela",6.716667,-61.13334,3,1
2242,2242001,1860,8,16,Ecuador,Quito,-0.2166667,-78.5,5,1
2243,2243001,1837,1,21,Colombia's ports,"Barranquilla, Colombia",5.15,-73.88333,4,1
2244,2244001,1954,1,13,.,PRK-KOR border,38.27,127.3,4,1
2245,2245001,1987,2,12,.,md pt on som-eth border,7.896,48.097,4,1
2300,2300001,1893,12,23,"Waima, Siera Leone",Waima,8.75,-11.23333,1,1
2302,2302001,1939,3,12,Czechoslovakia,Prague,50.08333,14.46667,5,1
2303,2303001,1937,8,13,off Bizerte Tunisia,Cap Bizerte,37.33333,9.866667,2,1
2304,2304001,1937,8,31,Off the Spanish Coast,Cadiz,36.53361,-6.299445,4,1
2306,2306001,1937,8,14,"Off Tunis, Tunisia",Tunis,36.80278,10.17972,2,1
2307,2307001,1937,8,12,"Barcelona,Spain",Barcelona,41.38334,2.183333,1,1
2309,2309001,1908,5,14,"Casablanca, Morocco",Casablanca,33.59306,-7.616389,1,1
2310,2310001,1916,5,3,Veracruz,"Veracruz, Mexico",31.48333,-107.4,1,1
2311,2311001,1913,11,20,"British Honduras, Gulf of Mexico","Belize City, Belize",17.48333,-88.18333,5,1
2312,2312001,1913,10,14,Veracruz,"Veracruz, Mexico",31.48333,-107.4,1,1
2313,2313001,1913,11,29,Veracruz,"Veracruz, Mexico",31.48333,-107.4,1,1
2315,2315001,1986,10,26,Yellow Sea,Yellow Sea,36,124,5,1
2316,2316001,1930,2,-9,Ilha Margarida,"Ilha Magarida, Brazil",-11.08333,-55.61666,3,1
2317,2317001,1976,4,-9,Essequibo area,"Essequibo River, Guyana",7.033333,-58.45,3,1
2318,2318001,1976,4,-9,Courantyne River area,"Courantyne River, Guyana",5.7544,-57.1642,4,1
2319,2319001,1972,1,27,Belize's Carribean Sea,Glover Reef,16.8,-87.78333,4,1
2320,2320001,1875,3,-9,"Yungayo District, Peru",Yunguyo,-16.03278,-69.43333,3,1
2321,2321001,1906,6,-9,Madre de Dios area near Puerto Heath,"Puerto Heath, Bolivia",-12.5,-68.66666,2,1
2322,2322001,1858,1,24,Chincha Islands,"Chincha, Peru",-13.63333,-76.41666,3,1
2323,2323001,1982,7,13,"Guajira Peninsula, Colombia","Guajira Peninsula,",12,-71.5,3,1
2325,2325001,1979,11,-9,Nicaraguan-Honduran border,"Plis, Nicaragua",14.15,-85.43333,4,1
2326,2326001,1977,9,-9,Courantyne River,"Courantyne River, Guyana",5.95,-57.1,4,1
2327,2327001,1976,8,10,"Tyre, Lebanon","Tyre, Lebanon",33.27111,35.19639,1,1
2328,2328001,1949,3,-9,Yugoslavia-Albania border,"Krume, Albania",42.19695,20.41333,4,1
2331,2331001,1958,7,17,.,"Basra, Iraq",30.49,47.82,2,1
2332,2332001,1958,7,15,Iraq-Turkey border,"Cukurca, Turkey",41.06667,32.68333,4,1
2335,2335001,1976,8,31,Gulf of Suez,"Suez, Egypt",28.16667,33.45,3,1
2338,2338001,1901,1,22,Venezuela,Caracas,10.5,-66.91666,5,1
2339,2339001,1948,12,11,Costa Rica border territory,mid pt of border,10.935,-84.68389,4,1
2340,2340001,1948,4,19,Nicaragua-Costa Rica Border,mid pt of border,10.935,-84.68389,4,1
2342,2342001,1902,6,4,Colombian-Venezuelan border,"Culebra, Col",11.15,-74.11667,4,1
2343,2343001,1896,4,3,"Puerto Cabello, Venezuela",Puerto Cabello,10.47306,-68.16666,1,1
2344,2344001,1962,8,14,Nicaragua-Honduras border,"Jalapa, Nicaragua",13.91667,-86.13333,4,1
2346,2346001,1978,9,12,Nicaragua-Costa Rica border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1
2347,2347001,1981,4,30,.,NIC-HON border,14.01,-85.372,4,1
2348,2348001,1982,8,2,Guatemalan-Mexican border,"Santa Amelia, Guatemala",17.56556,-90.59111,4,1
2349,2349001,1983,9,28,Nicaragua-Costa Rican border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1
2350,2350001,1984,4,30,Guatemalan-Mexican border,"Chajul, Mexico",16.11667,-90.91666,4,1
2352,2352001,1985,7,10,Honduras-El Salvador border,"La Virtud, Honduras",14.05,-88.7,4,1
2353,2353001,1986,1,7,.,NIC-HON border,14.01,-85.372,4,1
2354,2354001,1986,1,31,Dom. Rep-Haiti border,"Comendador, DR",18.8775,-71.70277,4,1
2356,2356001,1986,6,5,Los Monjes Islands,"Los Monjes, Venezuela",12.41667,-70.91666,3,1
2357,2357001,1978,7,2,Border region between N and S Yemen,"Minwakh, Yemen",16.80778,48.10917,4,1
2360,2360001,1965,4,6,.,YEM-SAU border,17.23,47.46,4,1
2362,2362001,1967,5,12,Najran and Qizam S.Arabia,"Najran, Saudi Arabia",17.5,44.16667,1,1
2363,2363001,1918,7,-9,Caucasus and Transcaucasus,"Yerevan, Armenia",40.18333,44.5,5,1
2364,2364001,1920,2,-9,Crimea,"Sevastopol, Russia",53.45555,35.18361,5,1
2365,2365001,1918,11,23,.,st petersburg,59.9,30.4,2,1
2366,2366001,1918,6,28,.,st petersburg,59.9,30.4,2,1
2367,2367001,1854,1,1,.,cyprus,35.06,33.41,5,1
2368,2368001,1887,1,28,France,Paris,48.83333,2.333333,5,1
2369,2369001,1887,4,20,France-near German border,"Strasbourg, France",48.58333,7.75,4,1
2371,2371001,1946,3,1,Albania-Greece border,"Leskovik, Albania",40.14917,20.5975,4,1
2372,2372001,1952,7,23,Yugoslav-Albanian border,"Krume, Albania",42.19695,20.41333,4,1
2373,2373001,1969,11,5,Najran S.Arabia,"Najran, Saudi Arabia",18,45.66667,1,1
2374,2374001,1975,2,8,Centa and Melilla,"Melilla, Spain",-34.78333,-56.25,1,1
2540,2540001,1985,8,20,Gulf of Sidra on Libyan/Tun border,"Gulf of Sidra, Libya",31.5,18,3,1
2541,2541001,1984,3,7,Bay of Biscay,Bay of Biscay,44,-4,3,1
2542,2542001,1984,10,20,Irish sea,Irish Sea,53.66667,-5,5,1
2543,2543001,1985,7,24,Irish sea,Irish Sea,53.66667,-5,5,1
2544,2544001,1985,7,19,Persian Gulf,Persian Gulf,27,51,5,1
2545,2545001,1985,7,10,Persian Gulf,Persian Gulf,27,51,5,1
2546,2546001,1985,5,31,Nicaragua/Costa Rica border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1
2547,2547001,1985,4,30,Persian gulf,Persian Gulf,27,51,5,1
2548,2548001,1985,3,25,Persian gulf,Persian Gulf,27,51,5,1
2549,2549001,1985,3,25,Persian gulf,Persian Gulf,27,51,5,1
2550,2550001,1985,3,22,S.Korean waters near Huxan,"Huksan, South Korea",34.5,125.3333,2,1
2551,2551001,1985,3,19,Persian Gulf,Persian Gulf,27,51,5,1
2552,2552001,1985,3,15,Persian Gulf,Persian Gulf,27,51,5,1
2553,2553001,1985,2,21,Persian Gulf,Persian Gulf,27,51,5,1
2554,2554001,1985,2,20,Persian Gulf,Persian Gulf,27,51,5,1
2555,2555001,1985,2,20,Persian Gulf,Persian Gulf,27,51,5,1
2557,2557001,1985,9,23,Persian Gulf,Persian Gulf,27,51,5,1
2558,2558001,1985,9,7,Persian Gulf,Persian Gulf,27,51,5,1
2559,2559001,1985,9,29,.,cze-wger border,49.408,13.138,4,1
2560,2560001,1985,10,18,Persian Gulf,Persian Gulf,27,51,5,1
2561,2561001,1985,10,10,Persian Gulf,Persian Gulf,27,51,5,1
2563,2563001,1985,10,1,"Tunis, Tunisia",Tunis,36.80278,10.17972,1,1
2565,2565001,1986,8,26,Persian Gulf,Persian Gulf,27,51,5,1
2566,2566001,1986,8,27,Kurdistan,"Kordestan, Iran",37,44,3,1
2567,2567001,1986,8,16,South Yemen,San'a',16.08333,49.66667,5,1
2568,2568001,1986,7,29,Persian Gulf,Persian Gulf,27,51,5,1
2570,2570001,1986,5,19,Zimbabwe,Harare,-17.83333,31.05,5,1
2571,2571001,1986,5,19,Zambia,Lusaka,-15.41667,28.28333,5,1
2572,2572001,1986,4,26,Fasht al Dibal I,"Fashtal, Iran",37.14083,49.825,2,1
2573,2573001,1986,4,16,Nicaragua/Costa Rica border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1
2574,2574001,1986,4,6,Persian Gulf,Persian Gulf,27,51,5,1
2575,2575001,1986,3,2,Persian Gulf,Persian Gulf,27,51,5,1
2578,2578001,1986,1,13,Persian Gulf,Persian Gulf,27,51,5,1
2579,2579001,1986,5,28,Waters of Arg and Falkland Islands,Burdwood Bank,-54.25,-59,4,1
2580,2580001,1986,1,6,Botswana,Gaborone,-24.64639,25.91195,5,1
2583,2583001,1985,12,12,B.Faso/Mali border,"Kiri, Mali",13.96667,-3.033333,4,1
2584,2584001,1985,12,17,Persian Gulf,Persian Gulf,27,51,5,1
2585,2585001,1985,11,20,Persian Gulf,Persian Gulf,27,51,5,1
2588,2588001,1986,9,3,Persian Gulf,Persian Gulf,27,51,5,1
2590,2590001,1983,4,30,Iran Afganistan border,"Duruh, Iran",32.285,60.49889,4,1
2591,2591001,1986,2,4,off coast of Cyprus,Limassol,34.675,33.03333,4,1
2593,2593001,1986,11,18,Persian Gulf,Persian Gulf,27,51,5,1
2594,2594001,1986,10,22,Persian Gulf,Persian Gulf,27,51,5,1
2595,2595001,1986,10,2,Persian Gulf,Persian Gulf,27,51,5,1
2596,2596001,1986,9,23,Persian Gulf,Persian Gulf,27,51,5,1
2597,2597001,1986,9,18,Czech German border,mid pt on border,50.25139,12.35111,4,1
2598,2598001,1986,3,20,Gibraltar,Gibraltar,36.13334,-5.35,3,1
2599,2599001,1986,8,19,Swaziland,Mababane,-26.31667,31.13333,5,1
2600,2600001,1985,7,10,Auckland New Zealand,Auckland,-36.86666,174.7667,1,1
2601,2601001,1986,7,20,Istanbul,"Istanbul, Turkey",41.01861,28.96472,1,1
2602,2602001,1978,6,21,"Turkmen Republic, USSR",Turkmenistan,40,60,5,1
2603,2603001,1918,11,11,.,lith east border,55.67,26.78,2,1
2604,2604001,1919,1,3,.,usr-lat border,56.859,28.025,4,1
2605,2605001,1918,11,22,.,usr-est border,58.498,27.688,4,1
2606,2606001,1917,12,30,.,usr-jap border,42.57,130.55,4,1
2608,2608001,1966,10,30,"Accra, Guinea","Accra, Ghana",5.55,-0.2166667,5,1
2610,2610001,1960,11,21,Zaire,"Kinshasa, DRC",-4.329722,15.315,5,1
2612,2612001,1960,7,31,Zaire,"Kinshasa, DRC",-4.329722,15.315,5,1
2615,2615001,1972,10,11,Burundi,Bujumbura,-3.374444,29.35806,5,1
2616,2616001,1971,1,14,Senegalese-Gambian frontier,"Banjul, Gambia",13.45306,-16.5775,4,1
2617,2617001,1973,7,13,Burundian-Tanzanian border,"Muyinga, Burundi",-2.844445,30.34028,4,1
2619,2619001,1971,4,29,"Near Mokambo,Zaire","Mokambo, DRC",-12.41667,28.35,2,1
2620,2620001,1971,8,21,Zairean-Congolese border,"Kinshasa, DRC",-4.329722,15.315,4,1
2621,2621001,1971,7,7,Ugandan-Rwanda border,"Kabale, Uganda",-1.3258,30.1683,4,1
2622,2622001,1971,4,20,Ugandan-Sudanes border,"Nimule, Uganda",3.6,32.05,4,1
2623,2623001,1963,7,25,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.8333,1,1
2624,2624001,1964,12,26,Koh Kong Island,"Koh Kong, Cambodia",11.33333,103.0833,3,1
2625,2625001,1949,4,14,Kashmir,Kashmir,34.56667,74.75,3,1
2626,2626001,1952,10,4,Kashmir,Kashmir,34.56667,74.75,3,1
2627,2627001,1956,3,18,Punjab,"Punjab, India",31,72,3,1
2628,2628001,1958,11,10,Assam,"Assam, India",26,93,3,1
2629,2629001,1962,1,6,Kashmir,Kashmir,31.34222,74.36528,3,1
2630,2630001,1963,10,16,Kashmir,Kashmir,31.34222,74.36528,3,1
2631,2631001,1965,1,-9,Rann of Kutch,"Rann of Kutch, India",24,70,3,1
2632,2632001,1966,4,-9,Kashmir,"Kashmir, pakistan",31.34222,74.36528,3,1
2633,2633001,1969,3,-9,"Cooch Behar, West Bengal","Cooch Behar, India",26.31667,89.43333,1,1
2634,2634001,1969,8,12,Air space above Northern India,"Dehra Dun, India",30.31667,78.03333,3,1
2635,2635001,1969,12,20,"Malda district, West Bengal","Malda, India",25,88,3,1
2637,2637001,1970,7,15,Kashmir,"Kashmir, pakistan",31.34222,74.36528,3,1
2638,2638001,1972,5,5,Kashmir,Kashmir,31.34222,74.36528,3,1
2639,2639001,1981,7,7,Kashmir,Kashmir,34.30667,71.80278,3,1
2640,2640001,1982,9,8,Kashmir,Kashmir,34.30667,71.80278,3,1
2641,2641001,1983,10,20,Kashmir,Kasmir,34.30667,71.80278,3,1
2642,2642001,1984,6,25,Nobra Valley-Siachen glacier (Kashmir),Siachen Glacier,35.18333,77.2,3,1
2643,2643001,1985,1,17,Siachen glacier,Siachen Glacier,35.18333,77.2,3,1
2644,2644001,1986,10,14,Kashmir,Kashmir,34.30667,71.80278,3,1
2645,2645001,1915,2,18,"North Sea, Baltic Sea",North Sea,55.33333,3,5,1
2648,2648001,1916,1,11,Corfu,"Corfu, Greece",39.66667,19.75,5,1
2683,2683001,1887,3,26,Coast of Haiti-Tortuga island,Ile de la Tortue,20.05,-72.95,3,1
2700,2700001,1919,7,-9,Amur River,"Amur River, Russ",52.93333,141.1667,4,1
2701,2701001,1919,8,20,Amur River,"Amur River, Russ",52.93333,141.1667,4,1
2702,2702001,1919,8,-9,Amur River,"Amur River, Russ",52.93333,141.1667,4,1
2703,2703001,1945,9,13,Xinjiang Province,"Xinjiang, China",35.61278,111.2178,3,1
2704,2704001,1945,10,6,Manchuria,"Harbin, China",45.75,126.65,3,1
2706,2706001,1962,4,22,Xingjiang province,"Xingjiang, China",35.61278,111.2178,3,1
2707,2707001,1964,10,15,china-ussr border,mid pt on border,53.29389,120.8903,4,1
2708,2708001,1965,12,-9,"border, Mongolia",Ulaanbaatar,47.91667,106.9167,4,1
2709,2709001,1967,1,26,Beijing,"Beijing, China",39.92889,116.3883,1,1
2710,2710001,1967,8,10,"Darien, Beijing","Dairen, China",38.91222,121.6022,1,1
2711,2711001,1968,8,-9,china-ussr border,mid pt on border,53.29389,120.8903,4,1
2712,2712001,1973,9,-9,Mongolia,Ulaanbaatar,47.91667,106.9167,5,1
2713,2713001,1974,12,-9,.,"pt where borders of usr, chn, mon meet",49.95,116.95,2,1
2714,2714001,1977,7,4,Xiajiang province,"Xiajiang (Jiangxi), China",25.75556,108.6919,3,1
2715,2715001,1978,3,11,Amur and Ussuri Rivers,"Amur River, Russia",52.93333,141.1667,4,1
2716,2716001,1979,1,27,Xinjiang province,"Xinjiang, China",35.61278,111.2178,3,1
2717,2717001,1980,10,5,"Argun River, Xinjiang Province","Argun River, China",53.33333,121.4667,4,1
